Time,O'Connell St Outside Pennys,O'Connell St Outside Clerys,Mary Street,Capel Street,Aston Quay,Grafton Street @ CompuB,Talbot Street North,"Doilier Street, Burgh Quay",Dawson Street Replacement,Dame Street,Talbot Street South,"O'Connell St, Parnell St @ AIB",Grafton Street / Nassau Street / Suffolk Street,"College Green, Bank Of Ireland",Henry Street,Westmoreland Street East,Dawson Street,Liffey Street,Westmoreland Street West,Grafton Street,Bachelors Walk,College Green @ Church Lane,College Green - Dame St Side,Total
00:00:00,102.380821917808,296.484931506849,7.39178082191781,21.9260273972603,207.339726027397,209.298630136986,126.928767123288,164.128767123288,17.1753424657534,72.241095890411,667.260273972603,49.6383561643836,37.4602739726027,114.227397260274,39.9506849315068,245.317808219178,76.4876712328767,269.852054794521,563.468493150685,404.076712328767,87.9917808219178,66.1890410958904,54.8520547945205,3902.06849315068
00:15:00,86.2876712328767,296.484931506849,5.93698630136986,20.4767123287671,199.972602739726,188.712328767123,123.317808219178,153.920547945205,16.8438356164384,64.2931506849315,691.619178082192,41.6986301369863,33.3671232876712,105.150684931507,36.1178082191781,245.317808219178,76.4876712328767,269.852054794521,563.468493150685,404.076712328767,73.654794520548,58.3452054794521,49.3287671232877,3804.73150684931
00:30:00,76.1616438356164,296.484931506849,5.65205479452055,18.0465753424658,186.720547945205,169.852054794521,100.838356164384,150.884931506849,16.4904109589041,58.586301369863,722.479452054794,38.4520547945205,29.9534246575342,96.3945205479452,31.2301369863014,245.317808219178,76.4876712328767,269.852054794521,563.468493150685,404.076712328767,67.9041095890411,52,41.7342465753425,3719.06849315068
00:45:00,71.4657534246575,296.484931506849,4.72054794520548,17.2767123287671,159.712328767123,148.139726027397,88.8876712328767,148.057534246575,16.4575342465753,56.627397260274,717.065753424658,34.1397260273973,28.4739726027397,96.5808219178082,28.2904109589041,245.317808219178,76.4876712328767,269.852054794521,563.468493150685,404.076712328767,66.6,49.3041095890411,41.0739726027397,3628.56164383562
01:00:00,66.2225274725275,173.958791208791,4.18406593406593,16.4285714285714,142.159340659341,124.75,77.5686813186813,121.708791208791,11.3489010989011,51.793956043956,745.065934065934,29.4203296703297,22.2445054945055,83.978021978022,22.1978021978022,147.461538461538,46.6483516483517,171.997252747253,430.252747252747,334.92032967033,60.2664835164835,38.7005494505494,29.3626373626374,2952.64010989011
01:15:00,61.6730769230769,173.958791208791,3.81318681318681,19.1043956043956,145.085164835165,115.038461538462,69.2225274725275,116.348901098901,11.4835164835165,49.6648351648352,747.513736263736,26.3846153846154,20.978021978022,82.282967032967,20.3873626373626,147.461538461538,46.6483516483517,171.997252747253,430.252747252747,334.92032967033,56.5576923076923,35.8763736263736,26.9835164835165,2913.63736263736
01:30:00,55.8159340659341,173.958791208791,3.02472527472527,16.3846153846154,137.445054945055,111.85989010989,65.5521978021978,112.101648351648,11.6346153846154,52.9175824175824,736.14010989011,22.8324175824176,22.3324175824176,83.6923076923077,17.2335164835165,147.461538461538,46.6483516483517,171.997252747253,430.252747252747,334.92032967033,49.8351648351648,34.5714285714286,26.5741758241758,2865.18681318681
01:45:00,55.1675824175824,173.958791208791,2.53571428571429,13.9010989010989,126.126373626374,113.392857142857,56.1346153846154,124.010989010989,11.3406593406593,54.0027472527473,720.31043956044,20.4835164835165,23.3351648351648,90.5576923076923,16.6236263736264,147.461538461538,46.6483516483517,171.997252747253,430.252747252747,334.92032967033,50.717032967033,33.6291208791209,28.8406593406593,2846.3489010989
02:00:00,49.4904109589041,158.2,2.47397260273973,15.6219178082192,130.430136986301,99.2493150684932,48.3260273972603,91.5452054794521,10.2054794520548,43.2164383561644,697.731506849315,19.7479452054795,18.1780821917808,71.6739726027397,14.7123287671233,109.131506849315,29.8301369863014,148.282191780822,394.734246575342,314.641095890411,42.827397260274,27.3753424657534,21.0383561643836,2558.66301369863
02:15:00,49.0794520547945,158.2,2.73150684931507,16.3780821917808,124.81095890411,90.7835616438356,47.3068493150685,90.9068493150685,10.1342465753425,40.4794520547945,692.701369863014,18.8575342465753,16.5424657534247,72.413698630137,14.1698630136986,109.131506849315,29.8301369863014,148.282191780822,394.734246575342,314.641095890411,36.8219178082192,25.3342465753425,19.358904109589,2523.6301369863
02:30:00,51.6821917808219,158.2,2.3972602739726,15.2575342465753,124.317808219178,93.1506849315069,43.9616438356164,105.213698630137,9.87123287671233,43.5780821917808,666.035616438356,21.5808219178082,17.1917808219178,73.1808219178082,12.986301369863,109.131506849315,29.8301369863014,148.282191780822,394.734246575342,314.641095890411,34.827397260274,25.6465753424658,22.0082191780822,2517.70684931507
02:45:00,61.6164383561644,158.2,2.80547945205479,15.9178082191781,131.095890410959,99.9534246575342,47.4301369863014,112.764383561644,9.55342465753425,47.3287671232877,637.128767123288,20.172602739726,21.4301369863014,80.4520547945205,14.4493150684932,109.131506849315,29.8301369863014,148.282191780822,394.734246575342,314.641095890411,37.4931506849315,29.3123287671233,25.5397260273973,2549.26301369863
03:00:00,37.9890410958904,123.027397260274,2.27671232876712,18.7479452054795,95.3095890410959,83.6438356164384,40.4191780821918,78.7479452054795,8.01643835616438,37.9287671232877,522.74794520548,18.4082191780822,15.5945205479452,67.454794520548,13.6191780821918,92.3260273972603,23.4383561643836,116.26301369863,360.695890410959,302.243835616438,27.8493150684932,22.4931506849315,16.0712328767123,2125.31232876712
03:15:00,62.0438356164384,123.027397260274,2.5041095890411,22.8821917808219,107.767123287671,96.2575342465754,43.7205479452055,73.3123287671233,8.95890410958904,45.1753424657534,599.553424657534,17.6821917808219,16.6986301369863,78.0876712328767,13.3068493150685,92.3260273972603,23.4383561643836,116.26301369863,360.695890410959,302.243835616438,31.8328767123288,25.7534246575342,16.1698630136986,2279.70136986301
